gene	young_leaf	flower	one_cm_pod	pod_shell_10DAF	pod_shell_14DAF	seed_10DAF	seed_14DAF	seed_21DAF	seed_25DAF	seed_28DAF	seed_35DAF	seed_42DAF	root	nodule
Glyma01g00270	5	4	3	3	1	2	1	0	1	0	1	1	1	1
Glyma01g00280	2	0	1	1	0	0	0	0	1	1	0	0	0	1
Glyma01g00290	0	1	1	0	0	0	0	0	0	0	1	0	0	0
Glyma01g00300	5	2	2	4	3	0	2	1	2	1	3	2	1	1
Glyma01g00310	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma01g00320	3	2	2	2	3	0	1	1	2	1	2	0	3	1
Glyma01g00330	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma01g00380	3	4	3	4	2	2	3	3	2	1	2	1	5	2
Glyma01g00400	15	16	10	13	9	3	8	7	6	5	8	4	17	11
Glyma01g00410	20	8	9	11	11	2	3	3	6	2	4	2	6	3
Glyma01g00420	9	3	5	5	1	2	4	4	3	1	1	1	3	1
Glyma01g00430	21	22	23	25	22	7	18	19	13	7	12	6	16	12
Glyma01g00440	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Glyma01g00450	0	0	0	0	0	0	0	0	0	0	0	0	16	0
Glyma01g00460	2	1	1	2	1	0	1	1	0	0	1	0	1	1
Glyma01g00470	3	3	2	1	2	2	3	1	1	0	1	1	2	0
Glyma01g00480	0	1	0	0	0	0	1	0	1	0	1	0	0	0
Glyma01g00490	0	12	0	0	0	0	0	0	0	0	0	0	0	0
Glyma01g00500	1	7	1	1	0	4	7	3	0	0	0	0	0	0
Glyma01g00510	5	8	6	7	9	1	2	3	2	1	2	2	7	2
Glyma01g00520	5	9	4	3	3	2	2	1	2	0	1	1	5	1
Glyma01g00530	0	0	0	0	0	0	0	0	0	0	0	0	5	0
Glyma01g00540	13	5	8	15	25	1	4	4	7	5	7	8	28	9
Glyma01g00550	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma01g00560	27	13	24	17	18	6	21	28	15	5	8	5	13	53
Glyma01g00570	13	9	6	8	9	2	3	2	1	1	4	1	4	4
Glyma01g00580	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma01g00590	10	2	3	5	3	0	1	2	1	2	1	2	0	0
Glyma01g00600	13	1	3	6	2	0	0	0	0	0	0	0	7	2
Glyma01g00610	5	3	7	3	2	2	2	3	2	2	2	0	4	3
Glyma01g00620	0	1	0	0	1	0	0	0	0	0	0	0	1	1
Glyma01g00630	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Glyma01g00640	6	1	3	2	1	1	1	0	1	0	1	1	0	0
Glyma01g00650	0	1	0	0	0	0	0	0	0	0	1	0	0	0
Glyma01g00660	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma01g00670	2	2	4	4	1	2	3	3	4	1	4	1	2	2
Glyma01g00680	16	16	14	21	9	11	28	20	35	13	42	13	17	11
Glyma01g00690	8	5	6	7	4	3	5	7	2	1	2	1	5	5
Glyma01g00700	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma01g00710	0	7	0	0	0	0	0	0	0	0	0	0	2	0
Glyma01g00720	1	2	1	1	2	0	1	0	1	1	2	1	5	3
Glyma01g00730	0	6	0	0	1	0	1	2	1	1	2	2	1	2
Glyma01g00740	137	96	152	135	116	67	114	116	60	49	97	67	127	142
Glyma01g00750	0	0	0	0	0	0	0	1	0	0	1	0	0	0
Glyma01g00760	6	23	11	7	7	4	7	10	6	4	5	5	22	12
Glyma01g00770	104	17	77	84	32	133	94	35	19	5	9	0	158	26
Glyma01g00780	3	2	2	2	1	1	1	1	1	1	1	0	2	1
Glyma01g00790	0	0	0	0	0	0	0	0	0	0	0	0	2	1
Glyma01g00800	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma01g00810	0	0	0	1	0	0	1	0	0	0	0	0	0	1
Glyma01g00820	36	77	85	62	58	28	26	25	21	9	16	11	21	78
Glyma01g00830	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma01g00840	0	23	1	0	0	0	0	0	0	0	0	0	0	2
Glyma01g00850	0	1	2	1	1	1	2	1	1	1	2	1	0	1
Glyma01g00860	12	10	13	9	6	4	7	4	6	4	8	5	18	15
Glyma01g00870	1	2	1	3	5	1	0	1	2	1	1	1	5	9
Glyma01g00880	0	0	1	1	0	0	0	0	0	0	0	0	2	0
Glyma01g00890	4	1	4	5	6	1	2	1	2	1	2	1	1	0
Glyma01g00900	1	0	0	0	0	2	1	0	0	0	0	1	0	0
Glyma01g00910	0	0	0	0	1	0	1	0	1	0	0	0	2	1
Glyma01g00920	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Glyma01g00930	3	64	3	12	15	6	6	7	9	3	5	1	1	1
Glyma01g00940	7	9	5	4	4	2	2	4	3	1	4	3	3	6
Glyma01g00950	34	143	162	73	77	75	57	100	89	50	56	46	87	83
Glyma01g00960	9	7	9	8	3	4	6	5	5	3	6	3	11	7
Glyma01g00970	0	1	0	1	1	1	0	0	1	1	1	1	0	0
Glyma01g00980	2	2	2	3	2	2	1	1	2	1	2	2	1	1
Glyma01g00990	1	3	1	2	1	1	1	1	1	1	1	0	2	1
Glyma01g01000	3	6	4	3	1	1	3	2	7	7	7	3	11	10
Glyma01g01010	1	1	1	1	0	1	1	1	1	1	1	0	9	3
Glyma01g01020	28	40	36	43	32	15	43	33	44	23	48	31	50	56
Glyma01g01030	1	3	2	4	2	1	2	1	1	1	2	0	0	3
Glyma01g01040	1	14	8	7	11	7	15	12	20	13	16	12	9	0
Glyma01g01050	0	11	7	6	9	6	13	10	18	11	14	10	9	0
Glyma01g01060	7	8	9	8	7	2	3	5	8	8	13	9	16	10
Glyma01g01070	0	0	1	0	0	0	0	0	1	0	0	0	13	1
Glyma01g01080	1	1	1	1	1	0	0	0	0	0	0	0	2	1
