Line	D_20	GL_20	G_20	MD_20	MGL_20	AD_20	AGL_20	MG_20	TIF_20	Protein_20	Oil_20	Total-Isoflavone_20	Ds_20	Gs_20	GLs_20	D_21	GL_21	G_21	MD_21	MGL_21	AD_21	AGL_21	MG_21	TIF_21	Protein_21	Oil_21	Total-Isoflavone_21	Ds_21	Gs_21	GLs_21
JY076	238.5107987	35.34958183	198.8282387	1089.558551	290.5714332	29.98207953	0	1213.941701	3096.742384	44.02533333	16.36866667	3096.742384	1358.051429	1412.76994	325.9210151	216.4361667	100.7915333	436.6768667	999.5398667	295.6658667	172.0911667	78.07393333	1635.9151	3935.1905	46.356	16.86133333	3864.501	1388.0672	2072.591967	474.5313333
JY077	329.3400112	80.63342403	338.8393886	1360.268859	561.2000959	32.91493172	0	1558.219151	4261.415861	43.10633333	17.553	4261.415861	1722.523802	1897.05854	641.8335199	69.03776667	97.1268	330.7122667	389.7983	303.1401333	114.3371667	79.45686667	1074.595933	2458.205233	46.44266667	15.95533333	2671.063833	573.1732333	1405.3082	479.7238
JY078	218.6133822	22.64327233	202.7073983	1065.088044	241.1127542	3.899571917	0	1205.478919	2959.543342	47.92866667	14.765	2959.543342	1287.600998	1408.186317	263.7560265	219.2544	100.1546	353.6915667	1336.555733	326.1263333	145.1314333	63.73273333	1500.361833	4045.008633	49.27266667	12.998	3775.810533	1700.941567	1854.0534	490.0136667
JY079	193.2573284	60.55362488	145.1789387	675.5393754	304.1717849	24.71389172	0	658.6075629	2062.022507	43.14766667	18.571	2062.022507	893.5105956	803.7865016	364.7254098	235.3856667	57.01486667	207.6048333	1350.4706	307.3868	96.36913333	61.03496667	1107.7051	3422.971967	46.758	16.15633333	3431.322567	1682.2254	1315.309933	425.4366333
JY080	328.4008694	52.8653719	213.1142704	1285.554401	324.7812637	55.8093816	0	1086.198867	3346.724425	47.26633333	15.419	3346.724425	1669.764652	1299.313138	377.6466356	153.6716333	54.18203333	152.1538	1020.3616	252.2549667	77.45336667	44.09276667	655.1381	2409.308267	48.70766667	15.66966667	2499.321133	1251.4866	807.2919	350.5297667
JY081	211.0334994	85.48284608	269.5926253	924.7616805	509.3017157	70.96741848	0	1462.411148	3533.550934	50.34133333	14.399	3533.550934	1206.762598	1732.003774	594.7845617	180.3389667	65.7775	329.1939667	811.7761667	347.4649667	133.1659	55.3788	956.5644333	2879.6607	53.442	13.80966667	3010.311867	1125.281033	1285.7584	468.6212667
JY082	295.7308146	47.23646349	378.0050655	1401.84922	337.9388683	118.7583604	7.517918931	2251.048862	4838.085574	42.15166667	18.20833333	4838.085574	1816.338395	2629.053928	392.6932507	267.5309333	93.9388	405.9981	1327.783433	357.3783	161.2875	53.47803333	1647.343733	4314.738833	47.647	16.16466667	4332.848	1756.601867	2053.341833	504.7951333
JY083	216.4385741	85.60854236	318.0466682	970.9059214	420.9137396	78.57989932	0	1633.486243	3723.979588	46.28133333	15.64266667	3723.979588	1265.924395	1951.532911	506.522282	303.5628667	78.7749	283.8763333	1461.139633	344.0754	79.45133333	48.53163333	1576.8855	4176.2976	47.857	16.549	4112.300133	1844.153833	1860.761833	471.3819333
JY084	76.84121528	58.08165042	70.54629473	343.5862419	303.0366665	8.610547702	0	405.947265	1266.649881	52.065	12.69466667	1266.649881	429.0380048	476.4935597	361.1183169	344.4094333	94.53736667	372.4398	1643.231467	496.7003667	113.1132	48.9172	1903.336933	5016.685767	52.73066667	13.53566667	4773.997367	2100.7541	2275.776733	640.1549333
JY085	130.9937917	89.45000515	383.9360974	625.3246568	355.2753024	112.7903098	3.033501596	2148.763745	3849.56741	43.539	17.21033333	3849.56741	869.1087583	2532.699842	447.7588092	251.8529	93.89616667	389.8481667	1326.514467	354.8921667	141.2314333	51.00513333	1704.8562	4314.096633	45.28033333	17.04666667	4130.138033	1719.5988	2094.704367	499.7934667
JY086	223.1382892	79.65218348	149.6591034	840.5680935	421.6318608	30.16677274	0	782.7155583	2527.531861	45.20133333	14.516	2527.531861	1093.873155	932.3746617	501.2840442	241.5085	116.6267333	377.3495333	1063.507967	411.1457	117.7488667	64.0369	1584.309167	3976.233367	47.668	15.35066667	4201.857433	1422.765333	1961.6587	591.8093333
JY087	102.2487097	41.98774526	70.41373515	480.1602059	330.6522028	10.76350952	0	458.8894879	1495.115596	41.196	20.03033333	1495.115596	593.1724251	529.303223	372.639948	186.4542333	67.5211	261.2224	966.8714	286.0695667	96.7591	46.8556	1218.144467	3129.897867	44.526	19.60166667	3293.431	1250.084733	1479.366867	400.4462667
JY088	227.1881006	50.64511976	138.7198273	889.4183784	381.8461672	33.70552084	0	836.4529792	2557.976093	41.176	18.54233333	2557.976093	1150.312	975.1728065	432.4912869	249.5831667	77.18053333	314.7842333	1128.895767	333.1958333	129.7772667	50.9381	1468.191067	3752.545967	41.87733333	20.04533333	3572.0355	1508.2562	1782.9753	461.3144667
JY089	222.1790895	67.88055092	282.1037202	1106.166887	455.2044262	82.51558437	0	1717.246764	3933.297022	45.65533333	15.99766667	3933.297022	1410.861561	1999.350484	523.0849772	154.2110667	104.8164333	409.3979667	791.1618333	437.8239667	111.8682	58.29966667	1323.408433	3390.987567	45.43633333	16.69	3657.7168	1057.2411	1732.8064	600.9400667
JY090	244.032135	36.24944631	221.1357759	1054.163884	275.182109	52.52093127	0	1136.742129	3020.02641	51.84	12.55266667	3020.02641	1350.71695	1357.877905	311.4315553	293.7734	86.43938333	401.80595	1423.44545	361.0654	136.6348333	60.00696667	1667.309417	4430.4808	48.935	13.92633333	4643.492183	1853.853683	2069.115367	507.51175
JY091	160.4392378	29.25913279	153.8873277	746.9971098	253.4120803	41.75716259	0	862.5217705	2248.273821	47.021	13.68366667	2248.273821	949.1935102	1016.409098	282.6712131	237.1803333	69.95853333	238.4173	1215.713533	319.8983667	67.52383333	47.56806667	1328.949167	3525.209133	49.24933333	14.86266667	3333.9896	1520.4177	1567.366467	437.4249667
JY092	66.21283982	44.09019969	80.0138006	396.8178477	277.7970666	15.46012895	0	507.9024351	1388.294319	51.689	12.428	1388.294319	478.4908165	587.9162357	321.8872663	256.4806	66.8587	294.5066	1425.0909	354.2492333	105.1904333	43.2081	1357.366533	3902.9511	50.57566667	13.98066667	4131.951833	1786.761933	1651.873133	464.3160333
