Glyma2.0	root	stem	flower	root_hairs	leaves	nodules	pod	seed	shoot_apical_meristem
Glyma.05g075400	14.88	9.13	6.19	12.07	11.09	9.86	8.5	5.71	9.1
Glyma.05g075500	0.08	0.05	0.01	0.13	0.09	0.09	0.04	0.03	0.11
Glyma.05g075600	3.39	5.66	5.9	2.91	7.29	1.6	5.85	12.8	12.84
Glyma.05g075700	0	0.04	0.09	0	0	0	1.2	0.1	0.81
Glyma.05g075800	2.49	0.85	0.77	0.37	0.46	0.44	1.15	0.91	2.48
Glyma.05g075900	11.76	8.57	4.25	10.34	7.72	7.48	6.1	6.02	7.84
Glyma.05g076000	0	0	0	0	0	0	0	0	0
Glyma.05g076100	0.05	0.65	0.28	0.46	0.17	0.38	1.02	0.29	0.42
Glyma.05g076200	0.17	0.35	0.11	0.45	0.18	0.35	1.09	0.47	0.79
Glyma.05g076300	6.47	12.01	3.85	7.01	7.27	3.8	3.63	1.71	4.41
Glyma.05g076400	0.32	0.57	0.31	0.18	0.11	0.3	0.35	0.13	0.37
Glyma.05g076500	0.91	0.64	0.97	0.39	0.14	0.66	0.43	1.61	0.27
Glyma.05g076600	0.3	0.61	0.04	0.99	0.22	1.53	0.12	0.02	0.11
Glyma.05g076700	1.76	31.89	4.53	7.18	11.79	15.05	3.1	8.52	7.42
Glyma.05g076800	5.57	5.05	4.75	4.26	11.57	5.57	5.11	8.23	6.36
Glyma.05g076900	0	0	0.7	0	0	0	0.08	0.18	0
Glyma.05g077000	0	0	0.03	0	0.05	0.09	0	0	0.09
Glyma.05g077100	77.15	6.36	4.32	11.28	0.96	13.78	8.35	1.05	4.73
Glyma.05g077200	8.36	17.12	64.37	13.5	40.02	15.27	12.73	11.47	23.25
Glyma.05g077300	0.85	0.07	0.1	0.51	0.19	1.43	0.06	0.41	0.22
Glyma.05g077400	0	0	0.02	0	0.03	0	0	0	0
Glyma.05g077500	0.9	0	0	1.1	0	1.74	0	0	0
Glyma.05g077600	0	0	0	0.11	0	0.87	0	0	0
Glyma.05g077700	0.06	0	0.01	0.08	0	0.58	0.1	0.63	0
Glyma.05g077800	9.34	10.68	7.82	9.56	9.21	7.17	7.85	6.54	9
Glyma.05g077900	0.26	0.31	0.33	0.55	0.01	0.79	0.36	0.56	1.34
Glyma.05g078000	14.34	14.37	10.31	21.27	12.25	20.54	11.43	22.87	17.67
Glyma.05g078100	0	0	0	0	0	0	0	0	0
Glyma.05g078200	0	0	0	0	0	0	0	0	0
Glyma.05g078300	0.67	1.95	1.2	1.42	1.59	1.88	2.49	3.08	2.55
Glyma.05g078400	0	0	0	0	0	0.01	0	0	0
Glyma.05g078500	0	0	0	0	0	0	0	0	0
Glyma.05g078600	0	0	0	0	0	0	0	0.01	0
Glyma.05g078700	0	0.08	0	0.03	0.04	0	0.08	0	0
Glyma.05g078800	0	0.08	0	0	0	0	0.04	0.27	0
Glyma.05g078900	0.66	0.87	0.77	0.88	1.33	0.75	0.7	0.71	1.21
Glyma.05g079000	98.34	73.92	27.69	91.35	49.12	72.43	58.93	64.27	58.13
Glyma.05g079100	24.46	17.79	13.4	27.68	31.01	22.03	15.56	15.91	20.19
Glyma.05g079200	0.66	1.02	2.01	1.38	2.4	1.34	1.88	3.12	2.83
Glyma.05g079300	0	0	0	0	0	0	0	0	0
Glyma.05g079400	7.15	7.03	4.73	7.33	5.33	7.04	7.73	7.42	6.84
Glyma.05g079500	2.41	3.47	1.48	2.19	1.81	2.11	3.34	2.69	3.99
Glyma.05g079600	0	0.04	0.01	0.02	0	0	0.01	0	0.07
Glyma.05g079700	285.44	534.84	170.96	101.51	249.13	84.51	133.95	41.9	84.51
Glyma.05g079800	1.73	2.16	0.22	3.5	0.19	3.79	1.29	2.12	2.81
Glyma.05g079900	1.77	2.71	1.75	1.76	2.35	2.44	2.78	3.03	3.64
Glyma.05g080000	0	0	0	0	0	0	0	0	0
Glyma.05g080100	6.16	5.8	7.09	10.27	7.77	9.17	7.69	12.16	7.99
Glyma.05g080200	0	0.12	0.17	0.07	0.11	0	1.74	0.02	0.05
Glyma.05g080300	0.11	0.5	1.33	0.43	0.4	0.34	1.11	1.65	0.6
Glyma.05g080400	17.14	14.14	7.29	13.87	18.96	14.97	11.96	12.57	11
Glyma.05g080500	2.94	0.63	0.22	1.32	0.55	4.26	1.35	1.45	0.34
Glyma.05g080600	0	0	0	0	0	0	0	0	0
Glyma.05g080700	0	0	0	0	0	0	0	0.02	0
Glyma.05g080800	7.37	9.07	3.76	14.15	3.7	8.7	6.56	10.85	9.13
Glyma.05g080900	2.99	1.34	1.27	1.87	2.85	1.44	1.29	1.48	1.77
